0x8F85,0xB,,,
0x8309,0x9,,,
0x80A3,0xA,,,
0x80CC,0x7,,,
0x804B,0xA,,,
0x805E,0x8,,,
0x8010,0x9,,,
0x8009,0x8,,,
0x8066,0x8,,,
0x7FF5,0xA,,,
0x8028,0x8,,,
0x7FD2,0x8,,,
0x8022,0x9,,,
0x7F3B,0x8,,,
0x7FE9,0x8,,,
0x7FAE,0xA,,,
0x801C,0x9,,,
0x806D,0x7,,,
0x7FC4,0x9,,,
0x7FA3,0x8,,,
0x7FE7,0xA,,,
0x7F9B,0x8,,,
0x7FE5,0x6,,,
0x8083,0xA,,,
0x8028,0x8,,,
0x7FF6,0x8,,,
0x7FFE,0x7,,,
0x7FC0,0x8,,,
0x8008,0x6,,,
0x7F26,0x8,,,
0x8083,0x9,,,
0x800F,0xA,,,
0x7FE9,0x7,,,
0x7FEB,0x8,,,
0x801C,0x8,,,
0x7FC0,0xA,,,
0x8013,0x7,,,
0x7F84,0x7,,,
0x8031,0xA,,,
0x7FFE,0x7,,,
0x8002,0x8,,,
0x7FEF,0x8,,,
0x7FEC,0xA,,,
0x7FCE,0x8,,,
0x8022,0x9,,,
0x7FD1,0x9,,,
0x7FA5,0x8,,,
0x7FA4,0x7,,,
0x8053,0x8,,,
0x8013,0xA,,,
0x8020,0xA,,,
0x806C,0x9,,,
0x8044,0x8,,,
0x7FFC,0x7,,,
0x7F8A,0x8,,,
0x7FD1,0x8,,,
0x7FE2,0x8,,,
0x800E,0x9,,,
0x8022,0x9,,,
0x7F8A,0x7,,,
0x8018,0x7,,,
0x7FA2,0x9,,,
0x808B,0xB,,,
0x7F90,0x7,,,
0x8075,0xA,,,
0x8018,0xA,,,
0x7FCA,0x7,,,
0x8002,0x8,,,
0x8014,0xA,,,
0x7FD5,0x8,,,
0x803B,0x9,,,
0x7FE2,0x9,,,
0x7FF4,0x9,,,
0x7FFE,0x7,,,
0x7F77,0x7,,,
0x7FE8,0xA,,,
0x7FB9,0x6,,,
0x7FF8,0x9,,,
0x7F72,0x8,,,
0x8020,0x8,,,
0x8078,0x7,,,
0x800B,0x7,,,
0x8008,0xA,,,
0x7FC1,0x9,,,
0x8006,0x8,,,
0x7FC5,0x7,,,
0x800D,0xB,,,
0x7FE3,0x7,,,
0x7FC7,0x7,,,
0x7FBB,0xB,,,
0x803C,0x9,,,
0x803A,0x7,,,
0x7FFC,0x7,,,
0x7FCE,0x9,,,
0x803D,0x9,,,
0x8011,0x9,,,
0x8034,0x7,,,
0x7FE1,0x9,,,
0x8032,0xA,,,
0x7FE1,0x8,,,
0x8041,0x9,,,
0x8018,0x7,,,
0x7FF5,0xA,,,
0x7FB1,0x8,,,
0x800F,0x7,,,
0x7FBE,0x9,,,
0x7F97,0x8,,,
0x7FFC,0x6,,,
0x8032,0xA,,,
0x7FA0,0x7,,,
0x7FAD,0x9,,,
0x8008,0x7,,,
0x809B,0xA,,,
0x8035,0x9,,,
0x801B,0x9,,,
0x8010,0x7,,,
0x8092,0x9,,,
0x7FEB,0x8,,,
0x7FAE,0x7,,,
0x8054,0x9,,,
0x7FA4,0x8,,,
0x8046,0xA,,,
0x7FAA,0x7,,,
0x8046,0x8,,,
0x7FB4,0x7,,,
0x803A,0x8,,,
0x7FFA,0xA,,,
0x8059,0xB,,,
0x7FB0,0x6,,,
0x7FD0,0x8,,,
0x7FCC,0x9,,,
0x802D,0x8,,,
0x801A,0x9,,,
0x801E,0xA,,,
0x7FE3,0x6,,,
0x802D,0xB,,,
0x8006,0x7,,,
0x802C,0x9,,,
0x7FDC,0x9,,,
0x7FB9,0x7,,,
0x7FB8,0xA,,,
0x805E,0xA,,,
0x802B,0x8,,,
0x8014,0x9,,,
0x8064,0x8,,,
0x7FF5,0xA,,,
0x800E,0x6,,,
0x7FEF,0x9,,,
0x8007,0x9,,,
0x7FA1,0x8,,,
0x803A,0x9,,,
0x7F4F,0x7,,,
0x8080,0x8,,,
0x7FDB,0xA,,,
0x7FDB,0x8,,,
0x7FDF,0xA,,,
0x805C,0x7,,,
0x7FEE,0x9,,,
0x7FC2,0x6,,,
0x7F9B,0x9,,,
0x8000,0x8,,,
0x8034,0x7,,,
0x7F90,0xA,,,
0x802A,0x9,,,
0x7FDE,0x8,,,
0x8067,0xA,,,
0x7FF7,0x9,,,
0x804E,0x9,,,
0x804D,0x9,,,
0x7FD3,0x7,,,
0x7FB8,0x8,,,
0x8011,0x8,,,
0x801C,0xA,,,
0x7FBC,0x9,,,
0x7FF2,0x8,,,
0x8027,0x7,,,
0x8089,0xA,,,
0x7FDF,0x9,,,
0x7FCC,0x9,,,
0x7FAD,0x7,,,
0x7FD6,0x9,,,
0x8021,0x9,,,
0x7FF5,0x7,,,
0x8068,0x9,,,
0x7FE9,0x8,,,
0x8024,0x8,,,
0x8066,0xA,,,
0x800B,0x9,,,
0x7FB7,0x7,,,
0x7FF4,0x8,,,
0x7FCA,0x8,,,
0x7FBD,0x7,,,
0x8096,0xA,,,
0x7F63,0x8,,,
0x8046,0x9,,,
0x803E,0x8,,,
0x7FD5,0x8,,,
0x803B,0xA,,,
0x8014,0x8,,,
0x800F,0xA,,,
0x7FB6,0x6,,,
0x8066,0x9,,,
0x801F,0x9,,,
0x802C,0x7,,,
0x8017,0xA,,,
0x8075,0x9,,,
0x7FEA,0x8,,,
0x7FD8,0x9,,,
0x8052,0x9,,,
0x7F7A,0x9,,,
0x8001,0x7,,,
0x7FC6,0x9,,,
0x7F9F,0x7,,,
0x801C,0x8,,,
0x8017,0xA,,,
0x7FC6,0x9,,,
0x8003,0x6,,,
0x8000,0xA,,,
0x8010,0x8,,,
0x7FCE,0x9,,,
0x801A,0x8,,,
0x7FC9,0xA,,,
0x7FEC,0x6,,,
0x8048,0x9,,,
0x7FD7,0x6,,,
0x801A,0xA,,,
0x801F,0xA,,,
0x807C,0x9,,,
0x7FD1,0x8,,,
0x7F92,0x6,,,
0x7FE4,0x9,,,
0x7F70,0x7,,,
0x8020,0x9,,,
0x7FD3,0x7,,,
0x7F8D,0x9,,,
0x8041,0x9,,,
0x8027,0x7,,,
0x7FA7,0x9,,,
0x7FF3,0x8,,,
0x802F,0x7,,,
0x808E,0x9,,,
0x7FF3,0x9,,,
0x8022,0x8,,,
0x7FF2,0x9,,,
0x7F73,0x7,,,
0x7FB6,0x8,,,
0x7F97,0x9,,,
0x800C,0x7,,,
0x8005,0x9,,,
0x8033,0x8,,,
0x8001,0x9,,,
0x7FB3,0x8,,,
0x7FCE,0x9,,,
