0x8039,0x8031,0x98,0x77
0x8087,0x7FB0,0x88,0x75
0x807B,0x8039,0x7F,0x91
0x8044,0x801E,0x58,0x84
0x8096,0x8093,0x7D,0x72
0x802E,0x7FF4,0x86,0x7B
0x800D,0x7FEA,0x88,0x86
0x801E,0x7FA9,0x76,0x85
0x7FA9,0x8011,0xC5,0x8B
0x8023,0x7F99,0x8F,0x77
0x7FE8,0x7F95,0x9B,0x97
0x8024,0x803A,0x8C,0xA2
0x805B,0x7F48,0x75,0x7E
0x7EFA,0x8031,0x90,0x8C
0x8003,0x8020,0x82,0x65
0x7F88,0x7F42,0x77,0x98
0x7F83,0x7FF4,0x83,0xAC
0x801C,0x8001,0x72,0x81
0x7FC3,0x7FD9,0x7A,0xBA
0x7F39,0x8019,0x88,0x77
0x7FF0,0x80C1,0x7A,0x71
0x7F92,0x808C,0x92,0x7C
0x8004,0x7FB5,0x9E,0x90
0x80E7,0x8025,0x9E,0x6E
0x7FF3,0x7FE2,0x88,0x6E
0x7FF8,0x7FDB,0x72,0x84
0x8013,0x7F85,0x9E,0x7D
0x801D,0x7FA9,0x79,0x80
0x7FA4,0x7F6F,0x8C,0x83
0x800E,0x7FFC,0x69,0x7E
0x8069,0x7FF6,0x85,0x97
0x80B6,0x7FC1,0x81,0x92
0x7FEA,0x7FAE,0x6F,0x8D
0x805A,0x802A,0x9C,0xAC
0x806E,0x801C,0x76,0x70
0x7FDC,0x800C,0x9E,0x72
0x807E,0x8006,0x6A,0x80
0x7FAA,0x7FAA,0x70,0x60
0x7FDA,0x7FDC,0x92,0x81
0x7F95,0x8063,0x7B,0x81
0x7FFC,0x805F,0x71,0x76
0x8088,0x8017,0x92,0x86
0x7FF4,0x8024,0x80,0x61
0x7FE5,0x804D,0x7A,0x87
0x8005,0x7FDE,0x7A,0x77
0x8041,0x7FBC,0x7E,0x75
0x7FC8,0x7FB7,0x94,0x81
0x7FBE,0x7FF3,0xAE,0x73
0x7F9C,0x7FAA,0x73,0x8A
0x7FFB,0x7FAB,0x6F,0x97
0x8074,0x7F7D,0x75,0x69
0x805F,0x7FE4,0x8C,0x9F
0x7F83,0x807E,0x71,0x65
0x8007,0x807B,0x88,0x84
0x802B,0x7FB5,0x96,0x72
0x8013,0x7F5E,0xB0,0x6B
0x7FCC,0x7FF4,0x6B,0x64
0x7FAE,0x7FF4,0x78,0x83
0x7FAF,0x7FE3,0x7A,0x61
0x7F9E,0x8020,0x7A,0x98
0x7FC4,0x801C,0x8B,0x8E
0x8075,0x7FB5,0x8C,0x7E
0x804D,0x7FD0,0xA6,0x9B
0x8013,0x801E,0x90,0x82
0x7FBA,0x80C0,0xAC,0x81
0x7FF0,0x7FF6,0x5C,0x9A
0x8018,0x8096,0x90,0x94
0x8024,0x7FCA,0x9F,0x85
0x7FE9,0x7FDA,0x88,0x9A
0x8014,0x7FAF,0x6E,0x96
0x801E,0x8036,0x7E,0x63
0x7FA5,0x8001,0x90,0x8F
0x8017,0x8043,0x6D,0x63
0x8065,0x7FCA,0x93,0x90
0x7FBC,0x7FF7,0x7C,0x94
0x7FBE,0x7FBD,0x75,0x9C
0x7FBD,0x8034,0x9D,0xA5
0x8042,0x7F8F,0xA8,0x8C
0x7FC3,0x7FF2,0x84,0x66
0x80CB,0x7FF1,0x6D,0xAD
0x7FCA,0x7F86,0x60,0x97
0x7FD7,0x7F7C,0x92,0x87
0x7FAF,0x7FFE,0xAB,0x6A
0x8049,0x7FF9,0x5F,0x77
0x8054,0x8064,0x65,0x9F
0x7FEF,0x7FF6,0x62,0x66
0x8022,0x7F24,0x75,0x8E
