a,b,,,
0x7FD5,0x8,,,
0x7F58,0x8,,,
0x807E,0xA,,,
0x8088,0x8,,,
0x7FD9,0x8,,,
0x806E,0x8,,,
0x7FD9,0x9,,,
0x7FCE,0x8,,,
0x808F,0xA,,,
0x806A,0x8,,,
0x808C,0x9,,,
0x7F8B,0x7,,,
0x802D,0xB,,,
0x80C6,0x8,,,
0x7F76,0x7,,,
0x8002,0x8,,,
0x7FE9,0x9,,,
0x8060,0xA,,,
0x7FC6,0x7,,,
0x7F80,0x7,,,
0x8039,0xB,,,
0x80B2,0x8,,,
0x8036,0xA,,,
0x7F5B,0x8,,,
0x8099,0x7,,,
0x801C,0xA,,,
0x8069,0x7,,,
0x7FAD,0xA,,,
0x7F75,0x7,,,
0x7F75,0x7,,,
0x7F91,0xA,,,
0x7FCE,0x9,,,
0x7FC0,0x8,,,
0x8001,0x8,,,
0x7FB5,0x8,,,
0x8081,0x8,,,
0x80AB,0xA,,,
0x8090,0x9,,,
0x7FA5,0x7,,,
0x80B7,0x9,,,
0x8086,0xA,,,
0x7FFD,0xA,,,
0x7F81,0x8,,,
0x7FFB,0x8,,,
0x8012,0x8,,,
0x806A,0x9,,,
0x7F5D,0x8,,,
0x7FE2,0x8,,,
0x7F97,0x7,,,
0x7F99,0x9,,,
0x7F91,0x7,,,
0x7F6D,0x9,,,
0x80BF,0x9,,,
0x808D,0xA,,,
0x7FFE,0x7,,,
0x7FA9,0x7,,,
0x803E,0xA,,,
0x7F84,0x7,,,
0x805D,0xA,,,
0x80CB,0x9,,,
0x7FE4,0x9,,,
0x7F56,0x7,,,
0x8194,0xA,,,
0x7EF1,0x6,,,
0x7F97,0xA,,,
0x7F85,0x7,,,
0x7F65,0x8,,,
0x7FB0,0x8,,,
0x8056,0x8,,,
0x804D,0xA,,,
0x8005,0x8,,,
0x7FAF,0x9,,,
0x8046,0x7,,,
0x7FC7,0x8,,,
0x7FE9,0x9,,,
0x800C,0xA,,,
0x809A,0x8,,,
0x8059,0x7,,,
0x80A7,0xA,,,
0x8047,0x8,,,
0x7F25,0x9,,,
0x801B,0x7,,,
0x7FA0,0x7,,,
0x7FDD,0x9,,,
0x7F8C,0x9,,,
0x804E,0x8,,,
0x8087,0x9,,,
0x7FC2,0x8,,,
0x8088,0xA,,,
0x807F,0x8,,,
0x800E,0xB,,,
0x7FD4,0x8,,,
0x7F89,0x7,,,
0x803A,0x9,,,
0x804A,0x9,,,
0x7F93,0x9,,,
0x806C,0x8,,,
0x809D,0x9,,,
0x7F91,0x8,,,
0x7F17,0x9,,,
0x8069,0x8,,,
0x8075,0x7,,,
0x7FD1,0x8,,,
0x80E2,0x9,,,
0x7FDE,0x8,,,
0x8091,0xB,,,
0x7FEC,0x7,,,
0x7FDB,0x8,,,
0x8023,0xA,,,
0x7F88,0x8,,,
0x7F07,0x6,,,
0x7F28,0x8,,,
0x7FAB,0x8,,,
0x7FBF,0x9,,,
0x80DB,0x9,,,
0x8028,0x8,,,
0x7F39,0xA,,,
0x8034,0x8,,,
0x7FC2,0x8,,,
0x802D,0x8,,,
0x8013,0xA,,,
0x7F8B,0x7,,,
0x7F75,0x7,,,
0x7F81,0x9,,,
0x8076,0x9,,,
0x7FD1,0xA,,,
0x802A,0x8,,,
0x8071,0xA,,,
0x8045,0x9,,,
0x805A,0x8,,,
0x7FDF,0x7,,,
0x80CC,0x9,,,
0x7FC6,0x8,,,
0x8013,0xA,,,
0x8053,0x6,,,
0x80D1,0xB,,,
0x8003,0x8,,,
0x800E,0x8,,,
0x7FCC,0x8,,,
0x7FEA,0x9,,,
0x807A,0xA,,,
0x7F88,0x7,,,
0x8022,0xA,,,
0x7FEB,0x8,,,
0x801F,0x9,,,
0x8025,0x8,,,
0x8001,0x9,,,
0x8086,0x8,,,
0x7F74,0x8,,,
0x7FD6,0xA,,,
0x80A0,0x9,,,
0x7F85,0x8,,,
0x8055,0x9,,,
0x7F7B,0x7,,,
0x8049,0xA,,,
0x7FAD,0x9,,,
0x7F50,0x8,,,
0x7FDE,0x8,,,
0x801E,0x8,,,
0x80AA,0xA,,,
0x7FEC,0x8,,,
0x804A,0x8,,,
0x7F35,0xA,,,
0x806D,0x7,,,
0x7FE4,0x9,,,
0x7FEB,0x7,,,
0x7FDC,0x9,,,
0x8058,0x7,,,
0x7F82,0xA,,,
0x7F92,0x7,,,
0x8014,0xA,,,
0x7FEA,0x9,,,
0x7F74,0x8,,,
0x8080,0x7,,,
0x8091,0xC,,,
0x802C,0x7,,,
0x8027,0x9,,,
0x7FA6,0x7,,,
0x7F79,0x9,,,
0x80B3,0xA,,,
0x801F,0x9,,,
0x8061,0x9,,,
0x804E,0x9,,,
0x8051,0x7,,,
0x7FB6,0x9,,,
0x7FA2,0x9,,,
0x7EEF,0x7,,,
0x8099,0x8,,,
0x7FDF,0x9,,,
0x8033,0x8,,,
0x7F4D,0x8,,,
0x8047,0x9,,,
0x7FBD,0x8,,,
0x8008,0xA,,,
0x7FB5,0x8,,,
0x8030,0x8,,,
0x8015,0xA,,,
0x8026,0x9,,,
0x7FD2,0x8,,,
0x80D1,0x7,,,
0x801E,0xA,,,
0x7F84,0x8,,,
0x8037,0x9,,,
0x800F,0x7,,,
0x80B4,0xA,,,
0x8018,0x7,,,
0x7FA7,0x8,,,
0x7FD4,0x8,,,
0x7F9B,0x9,,,
0x804A,0xA,,,
0x8024,0x9,,,
0x8003,0x7,,,
0x800F,0xA,,,
0x808B,0x7,,,
0x7FC7,0x9,,,
0x8058,0x9,,,
0x8005,0x8,,,
0x7FE7,0x8,,,
0x8089,0x9,,,
0x805F,0xA,,,
0x80A1,0x8,,,
0x8003,0x8,,,
0x7FD1,0x9,,,
0x8065,0x8,,,
0x8012,0x9,,,
0x7FD9,0x9,,,
0x809E,0xA,,,
0x7FEF,0x7,,,
0x7FB9,0x8,,,
0x7F7A,0x7,,,
0x8009,0x9,,,
0x802E,0x8,,,
0x8000,0xA,,,
0x8014,0x7,,,
0x8043,0x9,,,
0x80EF,0x9,,,
0x8012,0x8,,,
0x7FAB,0x9,,,
0x7FF3,0xA,,,
0x7FEA,0x9,,,
0x80A4,0x7,,,
0x7FE6,0x8,,,
0x8020,0xA,,,
0x7FA3,0xA,,,
0x7FD7,0x7,,,
0x8075,0x8,,,
0x8076,0x9,,,
0x7F50,0x8,,,
0x8012,0x9,,,
0x8026,0x8,,,
0x8033,0xA,,,
0x8064,0x9,,,
0x80A5,0xA,,,
0x7FED,0x5,,,
0x80C2,0xD,,,
0x8071,0x7,,,
0x8009,0x9,,,
0x7FAB,0x9,,,
0x7F90,0x7,,,
0x7F30,0x8,,,
0x8027,0x9,,,
0x8014,0x8,,,
0x80D3,0x9,,,
0x7F17,0x7,,,
0x8016,0x9,,,
0x80CF,0x9,,,
0x802C,0x9,,,
0x8041,0x8,,,
0x7F94,0x7,,,
0x8048,0xA,,,
0x80C4,0x8,,,
0x803B,0xA,,,
0x7FEF,0x8,,,
0x80B0,0x9,,,
0x8018,0x8,,,
0x8007,0x8,,,
0x7FA3,0x8,,,
0x7F2D,0x7,,,
0x8086,0xA,,,
0x7F80,0x7,,,
0x8020,0xB,,,
0x803C,0x7,,,
0x7FF9,0x8,,,
0x805C,0xA,,,
0x7F96,0x8,,,
0x8010,0x8,,,
0x800D,0x9,,,
0x7FBA,0x8,,,
0x8070,0x8,,,
0x7E9A,0x7,,,
0x7F56,0x9,,,
0x8063,0x7,,,
0x8060,0x9,,,
0x7FCB,0x9,,,
0x7F3B,0xA,,,
0x8073,0x8,,,
0x806A,0x9,,,
0x7FDA,0x7,,,
0x806D,0x9,,,
0x803F,0xA,,,
0x802A,0x8,,,
0x8016,0x8,,,
0x80C4,0xA,,,
0x80BA,0x8,,,
0x804C,0x9,,,
0x7FF9,0xA,,,
0x7FEC,0x6,,,
0x7F2A,0xA,,,
0x8092,0x7,,,
0x7F86,0x8,,,
0x7FDF,0x8,,,
0x8043,0x9,,,
0x7FBE,0xA,,,
0x800F,0x8,,,
0x7FB0,0x8,,,
0x7FC7,0x9,,,
0x8044,0x9,,,
0x7F78,0x6,,,
0x7F88,0xA,,,
0x8017,0x8,,,
0x8024,0x8,,,
0x808A,0x8,,,
0x80D5,0xB,,,
0x7FD3,0x8,,,
0x7FF5,0x7,,,
0x7F98,0x7,,,
0x7FB2,0x8,,,
0x80C4,0xA,,,
0x80A3,0x8,,,
0x7F27,0x7,,,
0x7FF7,0x8,,,
0x8065,0xB,,,
0x7FA9,0x7,,,
0x7F22,0x8,,,
0x8016,0x8,,,
0x8084,0x8,,,
0x7FD5,0x9,,,
0x8051,0x8,,,
0x7FBB,0xA,,,
0x7FDB,0x9,,,
0x814C,0x8,,,
0x7FDE,0xA,,,
0x8010,0x7,,,
0x8014,0xA,,,
0x7FF4,0x8,,,
0x8042,0x9,,,
0x802C,0x7,,,
0x7FE0,0xB,,,
0x800E,0x7,,,
0x7FF0,0x8,,,
0x7F4E,0x8,,,
0x7FD7,0x8,,,
0x803A,0x9,,,
0x7F50,0x9,,,
0x8062,0x8,,,
0x8051,0x7,,,
0x7F8D,0x9,,,
0x7FD0,0x8,,,
0x7FFD,0x9,,,
0x7F73,0x8,,,
0x7FA7,0x7,,,
0x7FD6,0x9,,,
0x7FF8,0x9,,,
0x7FB6,0x9,,,
0x8017,0x9,,,
0x8044,0x6,,,
0x8072,0x9,,,
0x807A,0x8,,,
0x7FC6,0x8,,,
0x8059,0xA,,,
0x7FEB,0x7,,,
0x7FD4,0x8,,,
0x7FE8,0x7,,,
0x80AA,0xB,,,
0x7F85,0x7,,,
0x8070,0x8,,,
0x7F76,0x8,,,
0x8007,0x8,,,
0x8068,0xA,,,
0x7FF5,0x7,,,
0x7FF3,0x9,,,
0x8087,0x8,,,
0x8000,0x9,,,
0x7F99,0x9,,,
0x8093,0x7,,,
0x801B,0xA,,,
0x804F,0x8,,,
0x8052,0x9,,,
0x8014,0x8,,,
0x7F84,0x7,,,
0x7FE8,0xA,,,
0x8051,0x9,,,
0x804E,0x8,,,
0x7F8A,0x8,,,
0x8088,0x9,,,
0x7FC3,0x8,,,
0x8020,0x8,,,
0x808A,0xA,,,
0x7F86,0x7,,,
0x8004,0x8,,,
0x8050,0xA,,,
0x804A,0x8,,,
0x8039,0x7,,,
0x7FCC,0xA,,,
0x801D,0x8,,,
0x7FD5,0x8,,,
0x800D,0xA,,,
0x7FED,0x8,,,
0x8002,0x8,,,
0x8028,0x9,,,
0x7FEE,0x8,,,
0x800A,0x9,,,
0x7FFC,0x8,,,
0x7FB6,0x8,,,
0x7FB3,0x8,,,
0x7FB9,0xA,,,
0x8040,0x7,,,
0x8023,0x9,,,
0x7FA5,0x8,,,
0x8033,0x9,,,
0x7F5C,0x7,,,
0x80E4,0xA,,,
0x8068,0x8,,,
0x800F,0x8,,,
0x803B,0x8,,,
0x7EFC,0x8,,,
0x7F4D,0x7,,,
0x7F9F,0x9,,,
0x80C1,0x9,,,
0x7FD1,0x8,,,
0x8065,0xB,,,
0x8037,0x6,,,
0x8017,0xB,,,
0x8082,0x8,,,
0x7FCF,0x8,,,
0x80B3,0xA,,,
0x805F,0x7,,,
0x7F53,0x7,,,
0x7F3F,0x9,,,
0x7FDB,0x9,,,
0x7FD5,0x8,,,
0x8090,0x8,,,
0x7F70,0x9,,,
0x80EE,0x8,,,
0x8050,0x8,,,
0x7FE6,0x7,,,
0x7FBA,0x9,,,
0x8028,0x9,,,
0x8097,0x9,,,
0x8056,0x9,,,
0x7F4C,0x8,,,
0x8026,0xA,,,
0x8041,0x8,,,
0x7F7E,0x8,,,
0x7F8C,0x6,,,
0x8082,0xA,,,
0x7FA3,0x7,,,
0x801F,0x9,,,
0x8067,0x8,,,
0x7F8D,0x8,,,
0x801B,0x9,,,
0x7FFE,0x9,,,
0x804B,0x9,,,
0x803C,0x8,,,
0x802C,0x8,,,
0x8067,0x9,,,
0x8016,0x9,,,
0x7F52,0x8,,,
0x80AE,0x9,,,
0x7F7D,0x8,,,
0x7FD3,0x8,,,
0x8048,0x9,,,
0x80B2,0xA,,,
0x80A5,0xA,,,
0x807B,0x7,,,
0x8040,0x9,,,
0x7FEF,0x9,,,
0x80E2,0x9,,,
0x809F,0x8,,,
0x8010,0x8,,,
0x8061,0x8,,,
0x7F94,0x9,,,
0x7EF6,0x7,,,
0x7FDF,0x8,,,
0x7FEC,0x8,,,
0x800E,0x9,,,
0x7F76,0x8,,,
0x8069,0xA,,,
0x8026,0x7,,,
0x7F48,0x9,,,
0x8001,0x6,,,
0x7F41,0x8,,,
0x7FC3,0xA,,,
0x7FD1,0x8,,,
0x7FC0,0x9,,,
0x7FDA,0x6,,,
0x7FF4,0x8,,,
0x7FD2,0x8,,,
0x8095,0x9,,,
0x807E,0xB,,,
0x806B,0x7,,,
0x7F86,0x9,,,
0x7FD7,0x6,,,
0x7F4F,0x8,,,
0x803A,0xA,,,
0x800B,0x7,,,
0x7FEF,0x8,,,
0x7FC6,0xB,,,
0x808C,0x7,,,
0x7FFC,0x9,,,
0x7FB4,0x8,,,
0x7FE4,0x9,,,
0x8043,0xA,,,
0x8021,0x8,,,
0x805F,0x9,,,
0x801F,0x7,,,
0x7F03,0x9,,,
0x807F,0x8,,,
0x7F2B,0x8,,,
0x7FC3,0x9,,,
0x80B7,0x8,,,
0x7F3C,0x9,,,
0x8040,0x7,,,
0x809C,0x9,,,
0x805B,0x7,,,
0x7F9E,0x9,,,
0x7F25,0x8,,,
0x8028,0x8,,,
0x7F98,0x9,,,
0x7FE4,0x6,,,
0x7FAA,0xA,,,
0x80B9,0x8,,,
0x80B5,0x8,,,
0x7FF8,0x9,,,
0x8038,0x9,,,
0x7FE8,0x7,,,
0x7FAC,0xA,,,
0x7F72,0x7,,,
0x7F61,0x9,,,
0x8025,0x9,,,
0x7FE7,0x6,,,
0x7FDA,0x9,,,
0x7FAC,0x9,,,
0x7FC7,0x8,,,
0x7FC9,0x9,,,
0x806E,0x8,,,
0x7F9D,0x8,,,
0x7F9B,0x8,,,
0x7FEC,0x9,,,
0x8066,0x8,,,
0x80DA,0x9,,,
0x8025,0x9,,,
0x8078,0x7,,,
0x7F79,0x8,,,
0x8032,0x9,,,
0x8023,0x8,,,
0x8097,0x9,,,
0x7F6C,0x9,,,
0x8010,0x7,,,
0x806A,0x9,,,
0x7FA0,0x7,,,
0x8033,0xA,,,
0x7FF7,0x8,,,
0x7FF5,0xA,,,
0x80F7,0x8,,,
0x8004,0x9,,,
0x7F23,0x6,,,
0x808F,0xA,,,
0x7F82,0x9,,,
0x7FD2,0x8,,,
0x80B3,0xA,,,
0x80D7,0xA,,,
0x7F49,0x6,,,
0x8027,0x8,,,
0x8023,0x9,,,
0x7FD5,0x7,,,
0x805F,0x9,,,
0x8039,0xA,,,
0x802F,0x7,,,
0x8008,0xA,,,
0x803F,0x6,,,
0x803C,0xA,,,
0x7F85,0x9,,,
0x8003,0x9,,,
0x8019,0x9,,,
0x802E,0x7,,,
0x800A,0xA,,,
0x7F83,0x8,,,
0x8084,0x9,,,
0x7F32,0x6,,,
0x7FDC,0x9,,,
0x7F7F,0x8,,,
0x80B5,0x8,,,
0x805F,0x9,,,
0x7FBF,0x8,,,
0x7F61,0x9,,,
0x7FC5,0x7,,,
